row_number(),Sites of Use,Crop_Name
1,CRANBERRY,
2,CROP SUBGROUP 13-07B: BUSHBERRY,
3, BERRY AND SMALL FRUIT,
4,ASPARAGUS,
5,BARLEY,BARLEY
6,CORN,CORN
7,CROP GROUP 15: CEREAL GRAINS,
8,ESTABLISHED GRASSES,
9,ESTABLISHED PASTURES,
10,LAWNS,
11,NON-CROPLAND,
12,OTHER TURF AREAS,
13,RANGELAND,
14,RYE,
15,SMALL GRAINS,
16,WHEAT,WHEAT
17,CRANBERRIES,
18,FIELD CORN,CORN
19,GOLF COURSES,
20,NON-GRAZING LAND,
21,PARKS,
22,PASTURES,
23,RASPBERRIES,
24,ROADSIDES,
25,SPRING CEREALS (NOT UNDERSEEDED WITH LEGUMES),
26,STRAWBERRIES,
27,STUBBLE LAND,
28,UNCROPPED LAND,
29,WINTER CEREALS,
30,APPLE TREE,
31,APRICOT TREE,
32,CROP USE,
33,ESTABLISHED GRASS SEED CROPS,
34,FALL RYE,
35,FORAGE GRASSES,
36,FORAGE MILLET,
37,FORAGE SORGHUM,
38,HIGHBUSH BLUEBERRIES,
39,NON CROP USES,
40,PEACH TREE,
41,PEAR TREE,
42,PLUM TREE,
43,SEEDLING GRASSES,
44,SOUR CHERRY TREE,
45,SWEET CHERRY TREE,
46,WINTER WHEAT,WHEAT
47,FENCE ROWS,
48,HIGHWAYS,
49,HYDRO,
50,INDUSTRIAL STORAGE YARDS,
51,PIPELINE,
52,RAILWAY,
53,RIGHTS-OF-WAY,
54,ROADWAYS,
55,TURF,
56,VACANT LOTS,
57,AIRPORT,
58,CONIFERS,
59,ESTABLISHED GRASS CROPS,
60,ESTABLISHED PASTURE,
61,ESTABLISHED RANGELAND,
62,FIR,
63,HEMLOCK,
64,NON-CROP LAND,
65,NON-GRAZED LAND,
66,PINE,
67,SOD FARMS,
68,SPRUCE,
69,FENCEROWS,
70,FIR STANDS,
71,FORESTRY,
72,HEMLOCK STANDS,
73,INDUSTRIAL LOCATIONS,
74,NON-CROPLAND SITES,
75,PINE STANDS,
76,RIGHTS OF WAY,
77,ROADSIDE,
78,SPRUCE STANDS,
79,ALONG HIGHWAYS,
80,CYCLEWAY,
81,DRIVE WAYS,
82,DRIVEWAYS,
83,INDUSTRIAL SITES,
84,PLAYGROUNDS,
85,RESIDENTIAL LANDS,
86,RIGHT-OF-WAY,
87,RIGHT-OF-WAYS,
88,WALKWAYS,
89,FAIRWAYS,
90,FAIRWAYS (ESTABLISHED),
91,GOLF GREENS,
92,GOLF GREENS (ESTABLISHED),
93,OATS,
94,TURF (ESTABLISHED),
95,ASPARAGUS (ESTABLISHED),
96,CRANBERRY BEDS (BEARING),
97,CRANBERRY BEDS (ESTABLISHED),
98,CRANBERRY BEDS (NON-BEARING),
99,FLAX,
100,HIGHBUSH BLUEBERRY,
101,LOWBUSH BLUEBERRY,
102,MGI TOLERANT SOYBEANS,
103,PEARL MILLET,
104,RHUBARB (ESTABLISHED),
105,SORGHUM,
106,TURF - SOD (PRODUCTION ONLY),
107,ADZUKI BEANS,
108,AIRPORTS,
109,ALFALFA,
110,BEANS,
111,BEETS,
