row_number(),Pests,Pests_Key,Pests_Sub_Key,Sci_Name,Res_MOA_Group
1,CYPERCEAE (CAREX SEDGES),SEDGE,CAREX SEDGES,CYPERCEAE,
2,CYPERCEAE (SCIRPUS SEDGES),SEDGE,SCIRPUS SEDGES,CYPERCEAE,
3,GRASS,GRASS,GRASS,POA SPP.,
4,JUNCACEAE (RUSHES),RUSHES,RUSHES,JUNCACEAE SPP.,
5,PERENNIAL PLANTS WITH GROWTH IN TILLERS OR COMPACT TUFTS,WEEDS,WEEDS,,
6,ANNUAL SOWTHISTLE,SOW THISTLE,ANNUAL SOW THISTLE,SONCHUS OLERACEUS,
7,ANNUAL SUNFLOWER,SUNFLOWER,ANNUAL SUNFLOWER,HELIANTHUS ANNUUS,
8,BIENNIAL WORMWOOD,WORMWOOD,BIENNIAL WORMWOOD,ARTEMISIA BIENNIS,
9,BLUE LETTUCE (TOP GROWTH CONTROL ONLY),BLUE LETTUCE,BLUE LETTUCE,LACTUCA PULCHELLA,
10,BLUEBUR,BLUEBUR,BLUEBUR,LAPPULA SQUARROSA,
11,BURDOCK,BURDOCK,BURDOCK,ARCTIUM LAPPA,
12,CANADA THISTLE,THISTLE,CANADA THISTLE,CIRSIUM ARVENSE,
13,COCKLEBUR,COCKLEBUR,COMMON COCKLEBUR,XANTHIUM STRUMARIUM L.,
14,DANDELION,DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
15,DOCKS,SORREL,DOCK,RUMEX ACETOSA,
16,DOG MUSTARD,DOG MUSTARD,DOG MUSTARD,ERUCASTRUM GALLICUM,
17,FIELD BINDWEED,BINDWEED,FIELD BINDWEED,CONVOLVULUS ARVENSIS,
18,FIELD HORSETAIL,HORSETAIL,FIELD HORSETAIL,EQUISETUM ARVENSE,
19,FIELD PEPPERGRASS,PEPPERGRASS,FIELD PEPPERGRASS,LEPIDIUM CAMPESTRE,
20,GOATSBEARD,GOATSBEARD,GOATSBEARD,TRAGOPOGON SPP.,
21,HAIRY GALINSOGA,GALINSOGA,HAIRY GALINSOGA,GALINSOGA QUADRIRADIATA,
22,HEDGE BINDWEED,BINDWEED,HEDGE BINDWEED,CONVOLVULUS SEPIUM,
23,HOARY CRESS,HOARY CRESS,HOARY CRESS,LEPIDIUM DRABA,
24,KOCHIA,KOCHIA,KOCHIA,BASSIA SCOPARIA,"2,2+4,2+9,2+14,2+4+9"
25,LADY'S THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
26,LAMBS- QUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
27,LEAFY SPURGE,SPURGE,LEAFY SPURGE,EUPHORBIA ESULA,
28,MUSTARD,MUSTARD,MUSTARD,BRASSICA SPP.,
29,OAK LEAF GOOSEFOOT,GOOSEFOOT,OAKLEAF GOOSEFOOT,CHENOPODIUM GLAUCUM,
30,OTHER SUSCEPTIBLE WINTER ANNUAL WEEDS,ANNUAL WEEDS,ANNUAL WEEDS,,
31,PERENNIAL SOW-THISTLE,SOW THISTLE,PERENNIAL SOW THISTLE,SONCHUS ARVENSIS,
32,PERENNIALS,WEEDS,WEEDS,,
33,PRICKLY LETTUCE,LETTUCE,PRICKLY LETTUCE,LACTUCA SERRIOLA,
34,RAGWEEDS,RAGWEED,RAGWEED,AMBROSIA SPP.,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
35,REDROOT PIGWEED,AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
36,RUSSIAN PIGWEED,RUSSIAN PIGWEED,RUSSIAN PIGWEED,AXYRIS AMARANTHOIDES,
37,RUSSIAN THISTLE,RUSSIAN THISTLE,RUSSIAN THISTLE,KALI TRAGUS,2
38,SHEPHERD'S PURSE,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
39,SMARTWEED,SMARTWEED,SMARTWEED,PERSICARIA SPP.,
40,STINKWEED,FIELD PENNYCRESS,STINKWEED,THLASPI ARVENSE,2
41,SWEET CLOVER,SWEET CLOVER,SWEET CLOVER,MELILOTUS SPP.,
42,TANSY,TANSY,TANSY,TANACETUM ANNUUM,
43,TARTARY BUCKWHEAT,BUCKWHEAT,TARTARY BUCKWHEAT,FAGOPYRUM TATARICUM,
