row_number(),Registration number,Reg_Num_f,Group_Number_f,Notes
1,12221,NA>6330>9560>27818>27819>27820>29007>29264>29979>30460>31698>32294>32882>33111>33929>34240>34808>34813>34857>5931>9528>14725>14726>17511>26163>28271>28296>31332>33920>33921>25462>30100>32091>33481>33617>33960>33961,NA>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>1>1>1>1>1>1>1,"NA>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>Spring wheat>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans>For use in pinto, pink, great northern and small red beans"
2,14545,NA>16759,NA>8,NA>for the control of both wild oats and wild millet (green and yellow foxtail); can be applied after seeding wheat and barley only
3,14718,NA>27912>16164>18022>26722>28109>28276>28322>29089>29172>29995>30341>30428>31053>31536>31598>32220>32265>32497>32539>33143>33258>33370>33538>33869>33893>34024>34173>34383,NA>4>6 & 4>6 & 4>4>6 & 4>6>9>1>1>9>1>1>1>4>9>4>4>1>1>2>2>2>2>14 & 15>6>4>6 & 4>6 & 4,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>MCPA-K is preferred for hemp-nettle>NA>NA>NA
4,14725,NA>12221>20214>25118>26722>27487>27891>27988>28198>28276>28322>28487>28840>29089>29172>29498>29711>29775>29888>29995>30341>30945>31053>31063>31118>31261>31365>31493>31536>31598>31655>32213>32220>32265>32497>32539>32661>32795>32817>32827>32945>33011>33088>33114>33143>33258>33370>33379>33387>33400>33520>33538>33694>33697>33746>33762>33795>33869>33893>34024>34190>34489>34619>27487;+31896>27487;+23545>27988;+28761>28198;+23957>28198;+23545>28487;+23957>28487;+23545>28840;+28761>29498;+23957>29498;+23545>29775;+28761>30945;+32602>30945;+33258>31063;+28761>31493;+28761>33088;+28761>33258;+20214>33258;+28285>33258;+28286>33258;+30846>33370;+20214>33370;+33520>33400;+28761>33520;+33370>33520;+32602>33520;+33258>33538;+20214>33538;+28285>33538;+28286>33538;+30846>33697;+23957>33697;+23545>34489;+18837>34489;+23957>34489;+24362>34489;+26722>34489;+28761>34489;+28966>34489;+29223>34489;+31198>34489;+31536>34489;+31745>34489;+31896>34489;+32188>34489;+32220>34489;+32252>34489;+32603>34489;+33501>34489;+33851>34489;+34024>34489;+34737>25866;+32292>29022;+32292>29290;+32292>30366;+32292>24359;+32292>25344;+32292>28322;+32292>29125;+32292>29126;+32292>29479;+32292>29480;+32292>29995;+32292>30076;+32292>30678;+32292>30721;+32292>31063;+32292>31314;+32292>31493;+32292>33087;+32292>33088;+32292>33671;+32292>33694;+32292>33768;+32292>33133;+20214;+32602>33323;+20214;+32602>30949;+20214;+32602>29962;+20214;+32602>30137;+20214;+32602>34749;+20214;+32602>33133;+20214;+33258>33323;+20214;+33258>30949;+20214;+33258>29962;+20214;+33258>30137;+20214;+33258>34749;+20214;+33258,NA>6>2>4>4>9>4>9>9>6>9>9>9>1>1>9>1>9>9>9>1>2 & 2>1>9>2>1>4>9>4>9>9>4>4>4>1>1>6>4>9>6>9>6>9>4>2>2>2>9>4>9>2 & 2>2>9>9>9>4>4>14 & 15>6>4>6>9>2>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>2 & 2;+2>2 & 2;+2>9;+4>9;+4>9;+4>2;+2>2;+2 & 2>2;+2 & 2>2;+2 & 2>2;+2>2;+2 & 2>9;+4>2 & 2;+2>2 & 2;+2>2 & 2;+2>2;+2>2;+2 & 2>2;+2 & 2>2;+2 & 2>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2>1;+2;+2,"NA>Spring wheat>NA>0.84 to 1.1 L/ha 2,4-D Amine 500 series;use Merge adjuvant with tank mix; for use on wheat (spring and durum); apply at 3 to 5 leaf stage>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Spring wheat>NA>NA>Spring wheat>NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>2,4-D ester is preferred>NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label>FMC supports this mix that is not on the Ally label"
5,14726,NA>12221>27487>27891>27988>28198>28276>28322>28487>28840>29089>29172>29498>29775>29888>29995>30341>30428>31063>31493>31536>31598>31655>32265>32497>32539>32661>32795>32817>32827>32945>33011>33088>33114>33258>33370>33379>33387>33400>33538>33694>33697>33746>33762>33795>33869>33893>34190>34489>27487;+31896>27487;+23545>28198;+23957>28198;+23545>28487;+23957>28487;+23545>29498;+23957>29498;+23545>30945;+32602>30945;+33258>31493;+28761>33088;+28761>33258;+20214>33370;+20214>33370;+33520>33400;+28761>33520;+33370>33520;+32602>33520;+33258>33538;+20214>33657;+28642>33657;+30391>33657;+30431>33697;+23957>33697;+23545>25866;+32292>29022;+32292>29290;+32292>30366;+32292>24359;+32292>25344;+32292>28322;+32292>29125;+32292>29126;+32292>29479;+32292>29480;+32292>29995;+32292>30076;+32292>30678;+32292>30721;+32292>31063;+32292>31314;+32292>31493;+32292>33087;+32292>33088;+32292>33671;+32292>33694;+32292>33768;+32292,NA>6>9>4>9>9>6>9>9>9>1>1>9>9>9>9>1>1>9>9>4>9>9>4>1>1>6>4>9>6>9>6>9>4>2>2>9>4>9>2>9>9>9>4>4>14 & 15>6>6>9>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>9;+4>2 & 2;+2>2 & 2;+2>9;+4>9;+4>2;+2>2;+2>2;+2 & 2>9;+4>2 & 2;+2>2 & 2;+2>2 & 2;+2>2;+2>4 & 2 & 4;+1>4 & 2 & 4;+4 & 1>4 & 2 & 4;+1>9;+4>9;+4>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15>9;+14 & 15,"NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Spring wheat>NA>NA>Spring wheat>NA>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>2,4-D ester is preferred>Spring wheat>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Do not cut the treated crop for hay or graze treated crop within 7 days after application.; controls barnyard grass, green foxtail, proso millet, tame oat, volunteer canary weed, wild oat, yellow foxtail>Do not cut the treated crop for hay or graze treated crop within 7 days after application.; controls barnyard grass, green foxtail, proso millet, tame oat, volunteer canary weed, wild oat, yellow foxtail>Do not cut the treated crop for hay or graze treated crop within 7 days after application.; controls barnyard grass, green foxtail, proso millet, tame oat, volunteer canary weed, wild oat, yellow foxtail>NA>NA>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed>Supported but not registered for spring wheat preseed"
6,14730,NA>16164>18022>20214>25118>25118>26722>27487>27891>27910>27911>27912>27988>28109>28198>28276>28322>28487>28573>28840>29089>29172>29498>29711>29775>29888>29995>30341>30945>31053>31118>31261>31365>31493>31536>31598>31655>32213>32220>32265>32497>32539>32795>32817>32945>33114>33143>33258>33370>33379>33387>33400>33520>33538>33697>33746>33762>33795>33869>33893>34024>34173>34306>34383>34489>34501>34619>30838;+15959>29012;+28573;+29022>29012;+28573;+29290>29012;+28573;+28322>29012;+28573;+29480>29012;+28573;+30678>29012;+28573;+31063>29012;+28573;+31493>29012;+28573;+33087>29012;+28573;+33088>29012;+28573;+33694>29012;+28573;+33768,NA>6 & 4>6 & 4>2>4>4>4>9>4>4>4>4>9>6 & 4>9>6>9>9>14>9>1>1>9>1>9>9>9>1>2 & 2>1>2>1>4>9>4>9>9>4>4>4>1>1>4>9>9>4>2>2>2>9>4>9>2 & 2>2>9>9>4>4>14 & 15>6>4>6 & 4>1 & 1>6 & 4>9>4>2>2;+5>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9>14;+14;+9,NA>NA>NA>NA>1.1 L/ha MCPA Amine 500; use Merge adjuvant with tank mix; for use on barley; apply at 3 to 4 leaf stage>0.84 to 1.1 L/ha MCPA Amine 500; use Merge adjuvant with tank mix; for use on wheat (spring and durum); apply at 3 to 5 leaf stage>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>FMC supports this tank mix that is not on the AIM EC label>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>MCPA-K is preferred for hemp-nettle>NA>NA>NA>NA>NA>NA>NA>NA>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only>Flax only
7,15902,NA>33694>33869>27487>27988>28198>28322>28487>28840>29498>29775>29995>31063>31493>31598>31655>32817>32860>32945>33088>33379>33400>33697>33746>34332>34489,NA>9>14 & 15>9>9>9>9>9>9>9>9>9>9>9>9>9>9>10>9>9>9>9>9>9>10>9,NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
8,15959,NA>27827>31536>33910>34024>34332>34338>34429>27487>27988>28198>28322>28487>29498>29995>30461>31493>31598>31655>32817>32945>33379>33599>33697>33746>27487;+25728>27487;+25729>27988;+25728>27988;+25729>28198;+25728>28198;+25729>28322;+25728>28322;+25729>28487;+25728>28487;+25729>29498;+25728>29498;+25729>29995;+25728>29995;+25729>31493;+25728>31493;+25729>31598;+25728>31598;+25729>31655;+25728>31655;+25729>32817;+25728>32817;+25729>32945;+25728>32945;+25729>33379;+25728>33379;+25729>33599;+28072>33599;+25344>33599;+26920>33599;+28198>33599;+24359>33599;+25866>33599;+29124>33599;+29125>33599;+29888>33599;+33849>33599;+34720>33599;+27615>33599;+27946>33697;+25728>33697;+25729>33746;+25728>33746;+25729>9516;+30838>9853;+30838>14730;+30838>20308;+30838>27858;+30838>30461;+30838,NA>13>4>13>4>10>13>13>9>9>9>9>9>9>9>4>9>9>9>9>9>9>15>9>9>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>9;+15>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>15;+9>9;+15>9;+15>9;+15>9;+15>4;+2>4;+2>4;+2>4;+2>4;+2>4;+2,NA>NA>Western Canada Only>NA>Western Canada Only>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA
9,16164,NA>24835>30815>26277>18450>29256>27011>30428>32497>32539>34250>34744>28642>30391>30431>29495>32602>33258>29268>30843>20214>24388>9858>14718>20306>21933>20329>27054>27860>30462>34299>9516>9853>14730>20308>27858>30461>28555>29256>29289>30815;+28555>30815;+29256>30815;+29289,NA>1>4>5>5>1>1>1>1>1>1>1 & 1>1>4 & 1>1>1>2>2>1>1>2>2>4>4>4>4>4>4>4>4>4>4>4>4>4>4>4>1>1>1>4;+1>4;+1>4;+1,"NA>NA>NA>NA>NA>NA>Spring Wheat and Durum Wheat; for use on Spring Barley in Manitoba, Saskatchewan, Alberta plus the Peace River Region of British Columbia>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>NA>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas.>Do not tank mix with 2,4-D amine or MCPA amine formulation or with any other herbicide, insecticide, fungicide, fertilizer solution or adjuvant not recommended on the label; Do not mix with broadleaf herbicides when applying to cereal crops underseeded to forage legumes as the forages may be injured or killed.;Do not feed or graze underseeded forage crops in the year of treatment.;Do not replant treated areas to tame oats or corn for at least 4 weeks after application;Do not apply to any body of water.; Do not apply within 15 metres by ground and (50 metres by air) of non-crop areas."
10,16253,NA,NA,NA
